Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100001,-67.9273612252,47.1601807342,-624.5971101744016,110.9422352044327,1123.7225723177908,1.1110099772689852,0.1496158737789253,0.076250974270763,0.0114083561420145,0.0,0.0,473.44182109113206,24.96839598558221,196.15677823671768,0.0,0.0639755860006947,0.0,0.0048782007620959
100002,-68.0024586084,46.8479089414,-347.9215023195246,103.0010229070516,1122.8307770560764,1.7739056240566629,0.1337948342444631,0.1217469103483652,0.0162891076898349,0.0,0.0,258.8634003533587,19.427101051504977,196.3919623687587,0.0,0.0314392128723002,0.0,0.003827627030987
100003,-67.8319392853,46.7736187052,-905.826980061686,129.4010626581375,1126.571549380557,1.909032888131619,0.1753550029439315,0.1310209814611969,0.0229751845898449,0.0,0.0,836.9784310464173,57.94961643826757,197.5303524738974,0.0,0.1150394907504262,0.0,0.0150725869849171
100004,-67.2980373631,45.1687180464,-325.8933339454331,104.0123401494538,1122.9266857575738,1.3331522236624251,0.1344870124272561,0.0914970684200099,0.0123051673776593,0.0,0.0,263.6411007997392,21.04211231447193,196.54124110031552,0.0,0.0298396643459868,0.0,0.0027302418102948
100005,-67.9355420529,44.6060839859,-76.25534334236826,109.05553879771674,1123.3978403572462,0.8354745694668215,0.1417487899851811,0.0573403940591864,0.0081279314751631,0.0,0.0,29.87720063288101,19.70163887747437,196.44800468319957,0.0,0.0328767711605097,0.0,0.0018851670137373
100006,-68.6437497835,45.2562592587,-289.2423118729753,110.11546506116892,1123.5958092120932,1.5287786630691385,0.1461074740496944,0.1049233264222554,0.0153300821924472,0.0,0.0,393.2799460813064,21.88094571645768,196.0772696980638,0.0,0.0526592208826203,0.0,0.0055251806218088
100007,-68.6976688239,44.8272759862,-226.9443702704524,104.65640495410425,1122.9821398183242,1.529617827031277,0.1359618961151527,0.1049809200271691,0.014273404942807,0.0,0.0,162.60364832112282,18.74089486051242,196.33607955802117,0.0,0.0311440674676613,0.0,0.0032695328561433
100008,-69.8848789022,45.0515545607,-143.82223646204525,106.47799661237676,1123.1541264463378,0.616905763077514,0.1380777442257807,0.0423395526865914,0.005846149926493,0.0,0.0,89.62149464423103,19.62836434301728,196.4179562302862,0.0,0.0308751706740182,0.0,0.0013072409154601
100009,-69.6814483853,44.4726905408,-88.36442056553129,108.4849807368959,1123.342582853291,1.3134086798571336,0.1409818836270008,0.0901420270778866,0.0127083927713965,0.0,0.0,21.705503089265296,19.300788836645424,196.4082928442338,0.0,0.0322520076405441,0.0,0.0029072613460501
100010,-70.9770838575,44.389592367,-61.47824696145513,109.70251499396932,1123.460933920635,1.6517364023703625,0.1426525314593094,0.1133621772045818,0.0161714015499723,0.0,0.0,18.68425666578806,19.09277857979545,196.38722314783405,0.0,0.0326438175554414,0.0,0.003700574230354
100011,-70.2064326548,44.0731455038,-753.1516746656561,124.71828378036616,1126.281064871652,2.1874135531405203,0.1651252308507155,0.1501268377175466,0.0247897287349977,0.0,0.0,921.5649746701886,54.38308532399048,194.99366355112264,0.0,0.0874331257101379,0.0,0.0131260586746237
100013,-69.9744186896,43.918531399,-250.1484639600465,107.08598585943972,1123.2164263972209,2.0633754943582208,0.1395882322716543,0.1416138423148828,0.0197676259139312,0.0,0.0,293.83763686995815,20.37580888416901,196.465486981306,0.0,0.036127938836709,0.0,0.0051162162335834
