,Unnamed: 0,target,predicted
0,0,-5.72,-13.004902966192596
1,1,-2228.76,-2212.3611115445865
2,2,-33.71,-84.11067692508877
3,3,-9.12,-797.5775253398854
4,4,-2907.84,-2352.2048510139266
5,5,-43.36,-109.71472241643556
6,6,-38.08,-46.09986810923119
7,7,-3.97,-53.47156913696422
8,8,-9.82,-38.4022176681679
9,9,-37.43,-84.73551715638789
10,10,-14.12,-53.131102234442274
11,11,-0.26,-31.33159595070789
12,12,-6.06,-4.777793175864087
13,13,-55.84,-103.42057432130647
14,14,-2965.18,-2676.518094348373
15,15,-8.59,-27.34700700878465
16,16,-30.01,-87.9296691624863
17,17,-2738.74,-1785.8815292331278
18,18,-4.29,-42.10043482654355
19,19,-1953.6,-1713.953906463326
20,20,-5.02,9.30615707020801
21,21,-54.61,-48.3808158901704
22,22,-22.17,-66.6794232431243
23,23,-1.64,-32.54381770047673
24,24,-4.84,-73.12670893271783
25,25,-3.73,-44.53027319109015
26,26,-44.74,-45.94997497459022
27,27,-98.57,-28.886176962928115
28,28,-4.02,-26.81228003034005
29,29,-3.73,-35.115247873250425
30,30,-1.64,-34.29104668743628
31,31,-2.85,-20.64174307005144
32,32,-1.32,-15.219852230005284
33,33,-10.64,-12.52904630199896
34,34,-53.44,-63.12895084504699
35,35,-1542.53,-1617.240044792882
36,36,-14.69,-53.131102234442274
37,37,-2.31,-13.004902966192596
38,38,-27.46,-69.00775215379552
39,39,-13.61,-60.46210199502214
40,40,-2756.74,-2852.5370524588734
41,41,-3824.62,-3270.865489896356
42,42,-43.87,-63.12895084504699
43,43,-3971.85,-3711.202267806592
44,44,-11.55,-36.286558307995456
45,45,-53.32,-84.56125645192401
46,46,-7.12,-11.684468261931295
47,47,-3.91,-18.627677864089215
48,48,-7.38,-67.5587983799995
49,49,-3.54,-22.255977914377493
50,50,-4.79,-52.54910463820107
51,51,-15.99,-68.78417649597868
52,52,-1.23,-9.345429570288074
53,53,-58.23,-90.88296051407043
54,54,-7.84,-34.07763257538781
55,55,-2505.5,-745.5896709198153
56,56,-3855.6,-3264.15866452738
57,57,-2.8,-22.255977914377493
58,58,-6.14,-23.597476077492296
59,59,-29.48,-60.46210199502214
60,60,-1890.34,-589.343845328656
61,61,-2.16,-63.54012677189533
62,62,-58.05,-66.32229231869192
63,63,-15.72,-130.133557902799
64,64,-132.3,-310.0392399498864
65,65,-5.53,-67.5587983799995
66,66,-11.88,-56.8066683716062
67,67,-2741.44,-1896.8115509894524
68,68,-1.22,-53.54905098233832
69,69,-16.87,-61.95310558346014
70,70,-13.57,-25.926837575008413
71,71,-23.47,-42.89532716426086
72,72,-20.44,-25.926837575008413
73,73,-16.97,-62.55029992338251
74,74,-2.5,-20.64174307005144
75,75,-5.88,-53.2651637693624
76,76,-2.89,-23.461465976978587
77,77,-9.54,-52.54910463820107
78,78,-3263.52,-2676.518094348373
79,79,-11.61,-24.214729573494918
80,80,-42.78,-87.9296691624863
81,81,-2.5,-25.50722923824824
