,ID,Importance,std(importance),Uncertainty in importance,Source,Unit,Definition,num_loop,num_training_samples,id_loop
tmp_dc_cyr,15,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,deg. C,Annual avg. air temp. over reach catchment,1,224,Dec-2021b-log10
for_pc_cse,22,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,percent,Forest cover extent over reach catchment,1,224,Dec-2021b-log10
pre_mm_cdi,7,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,mm,Range of annual min and max precip. over reach catchment derived from RA data,1,224,Dec-2021b-log10
tmp_dc_cdi,8,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,deg. C,Range of annual min and max air temp. over reach catchment derived from RA data,1,224,Dec-2021b-log10
prm_pc_cse,1,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,percent,Permafrost extent over reach catchment,1,224,Dec-2021b-log10
Mean_Temp_Deg_C,23,3.1608249446574765,2.012921989528641,7.917636654427738,WHONDRS,degrees_Celsius,Mean water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,1,224,Dec-2021b-log10
pre_mm_cyr,10,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,mm,Annual avg. precipitation over reach catchment,1,224,Dec-2021b-log10
run_mm_cyr,9,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,mm/year,Annual avg. land surface runoff over reach catchment,1,224,Dec-2021b-log10
slp_dg_cav,17,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,degx10,Mean terrain slope over reach catchment,1,224,Dec-2021b-log10
gwt_cm_cav,18,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,cm,Mean ground water table depth over reach catchment,1,224,Dec-2021b-log10
ele_mt_cav,24,3.1608249446574765,2.012921989528641,7.917636654427738,RiverAtlas,m,Mean elevation over reach catchment,1,224,Dec-2021b-log10
Mean_DO_percent_saturation,19,2.118475287189612,1.4798937992454964,5.883208653436353,WHONDRS,percent_saturation,Dissolved oxygen saturation measured during in situ sensor deployment.,1,224,Dec-2021b-log10
Mean_DO_mg_per_L,20,2.118475287189612,1.4798937992454964,5.883208653436353,WHONDRS,milligrams_per_liter,Dissolved oxygen measured during in situ sensor deployment.,1,224,Dec-2021b-log10
dor_pc_pva,2,2.1146025149429595,0.5603387128558853,2.851638522162214,RiverAtlas,percent,Degree of dam regulation on reach,1,224,Dec-2021b-log10
RA_ms_av,12,2.1146025149429595,0.5603387128558853,2.851638522162214,RiverAtlas,m/s,Annual avg. stream speed,1,224,Dec-2021b-log10
RA_dm,14,2.1146025149429595,0.5603387128558853,2.851638522162214,RiverAtlas,m,Est. avg. depth of reach derived from other RA vars.,1,224,Dec-2021b-log10
RA_SO,13,2.1146025149429595,0.5603387128558853,2.851638522162214,RiverAtlas,non-dim.,Stream order,1,224,Dec-2021b-log10
RA_ms_di,11,2.1146025149429595,0.5603387128558853,2.851638522162214,RiverAtlas,m/s,Range between annual min and max avg. stream speed,1,224,Dec-2021b-log10
pst_pc_cse,6,1.3380655384985516,0.5950940523925963,2.9517806239632685,RiverAtlas,percent,Pasture extent over reach catchment,1,224,Dec-2021b-log10
crp_pc_cse,21,1.3130638083292214,0.2716468722064755,1.9369576775772748,RiverAtlas,percent,Cropland extent over reach catchment,1,224,Dec-2021b-log10
ppd_pk_cav,3,1.1997006033448507,0.1672789041103162,1.589749316840992,RiverAtlas,people/km^2,Average population density over reach catchment,1,224,Dec-2021b-log10
pH,5,1.1700111100096064,0.23587420364365633,1.7796848043664382,WHONDRS,pH,pH.,1,224,Dec-2021b-log10
sgr_dk_rav,4,1.1259289832927795,0.11948107686060264,1.432443671974309,RiverAtlas,dm/km,Avg. stream gradient over reach,1,224,Dec-2021b-log10
ire_pc_cse,16,1.0587407690333035,0.05010928478270176,1.1570881529188817,RiverAtlas,percent,Irrigated area extent (Equipped) over reach catchment,1,224,Dec-2021b-log10
gla_pc_cse,0,1.0103793952108349,0.022264732195321928,1.0731473892884225,RiverAtlas,percent,Glacier extent over reach catchment,1,224,Dec-2021b-log10
