# HeaderRows_7
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss; Minidot_02; PME miniDOT Logger real time clock.
# Battery; volts; Minidot_02; PME miniDOT Logger internal batteries.
# Temperature; degree_celsius; Minidot_02; PME miniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; Minidot_02; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
DateTime,Time_Zone,Parent_ID,miniDOT_SN,Battery,Temperature,Dissolved_Oxygen
 2022-08-11 06:39:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.58,9.644
 2022-08-11 06:40:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.61,9.65
 2022-08-11 06:41:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.657
 2022-08-11 06:42:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.653
 2022-08-11 06:43:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.62,9.645
 2022-08-11 06:44:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.61,9.661
 2022-08-11 06:45:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.654
 2022-08-11 06:46:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.668
 2022-08-11 06:47:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.58,9.672
 2022-08-11 06:48:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.662
 2022-08-11 06:49:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.668
 2022-08-11 06:50:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.668
 2022-08-11 06:51:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.61,9.673
 2022-08-11 06:52:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.684
 2022-08-11 06:53:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.666
 2022-08-11 06:54:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.61,9.672
 2022-08-11 06:55:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.676
 2022-08-11 06:56:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.67
 2022-08-11 06:57:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.672
 2022-08-11 06:58:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.695
 2022-08-11 06:59:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.61,9.679
 2022-08-11 07:00:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.686
 2022-08-11 07:01:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.682
 2022-08-11 07:02:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.59,9.696
 2022-08-11 07:03:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.62,9.686
 2022-08-11 07:04:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.683
 2022-08-11 07:05:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.688
 2022-08-11 07:06:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.7
 2022-08-11 07:07:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.697
 2022-08-11 07:08:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.61,9.685
 2022-08-11 07:09:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.686
 2022-08-11 07:10:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.693
 2022-08-11 07:11:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.62,9.683
 2022-08-11 07:12:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.696
 2022-08-11 07:13:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.62,9.698
 2022-08-11 07:14:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.688
 2022-08-11 07:15:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.694
 2022-08-11 07:16:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.62,9.692
 2022-08-11 07:17:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.61,9.698
 2022-08-11 07:18:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.62,9.695
 2022-08-11 07:19:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.685
 2022-08-11 07:20:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.703
 2022-08-11 07:21:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.63,9.684
 2022-08-11 07:22:00,Pacific Standard Time (UTC-8),SSS010,293065,3.46,13.6,9.695
