Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
00681_NPOC_mg_per_L_as_C,milligrams_per_liter,Non-purgeable organic carbon (NPOC) from water extractions of sediment samples that were subsequently analyzed on the FTICR-MS.,numeric,column_header
01472_N_percent,percent,Percent total nitrogen in < 2 millimeter sediment samples. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
61033_C_percent,percent,Percent total organic carbon in < 2 millimeter sediment samples. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
63515_del_13C_permil,permil,"Delta 13 C. Stable isotopic composition of carbon (delta carbon-13/carbon-12).  Presented in units of permil, also known as per mil, per mille, or parts per thousand. 5-digit prefix refers to a US Geological Survey parameter code.",numeric,column_header
82338_del_15N_permil,permil,"Delta 15 N. Stable isotopic composition of nitrogen (delta nitrogen-15/nitrogen-14).  Presented in units of permil, also known as per mil, per mille, or parts per thousand. 5-digit prefix refers to a US Geological Survey parameter code.",numeric,column_header
Acidification_After_Dilution_Method,N/A,Indicator of if sample was re-acidified after dilution (method code).,text,column_header
Acidification_Method,N/A,Indicator of acidified in lab (method code).,text,column_header
Al_wt_percent,weight_percent,Aluminum (weight percent) from XRF.,numeric,column_header
Approx.Distance.From.Gauge_meters,meters,Approximate distance from gauging station.,numeric,column_header
Associated_Site,N/A,Name of associated site where sample was collected.,text,column_header
AVG_DO_mg_per_L,milligrams_per_liter,Average of measurements of dissolved oxygen in laboratory incubation.,numeric,column_header
C_DIW_Vol_mL,milliliters,De-ionized (DI) water volume added to sample for dilution prior to Solid Phase Extraction (SPE).,numeric,column_header
C_Sample_Vol_mL,milliliters,Sample volume diluted prior to Solid Phase Extraction (SPE) based on desired carbon concentration.,numeric,column_header
Ca_wt_percent,weight_percent,Calcium (weight percent) from XRF.,numeric,column_header
City,N/A,City.,text,column_header
City_or_Township,N/A,City or township.,text,column_header
Collection_Date,YYYY-MM-DD,Date of sample collection.,date,column_header
Collection_Method,N/A,Method of sample collection registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system. Controlled vocabulary from SESAR.,text,column_header
Collection_Method_Description,N/A,Description of how sample was collected.,text,column_header
Collector_Chief_Scientist,N/A,Name of person who collected the sample or primary contact.,text,column_header
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,text,column_header
Comment,N/A,Name of study associated with sample.,text,column_header
Contamination.Source,N/A,Distance type and source if there are any upstream contamination sources.,text,column_header
Contamination.Source.Upstream,N/A,Indicator of any upstream contamination sources.,text,column_header
Country,N/A,Country where sample was collected.,text,column_header
Cu_wt_percent,weight_percent,Copper (weight percent) from XRF.,numeric,column_header
Dam,meters,Distance from nearest dam and name of dam  if there is one.,numeric,column_header
Dam.Upstream.Site,N/A,Indicator for a dam upstream of the sampling location.,text,column_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date,YYYY-MM-DD,Date of incubation.,date,column_header
Date_End,YYYY-MM-DD,The latest date in the file.,date,column_header
Date_Run,YYYY-MM-DD,Date of sample run.,date,column_header
Date_Start,YYYY-MM-DD,The earliest date in the file.,date,column_header
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header
Discharge_Link,N/A,Link for public stream gauge/discharge data if available.,text,column_header
Distance_DS.and.MS_meters,meters,Distance between downstream and midstream site.,numeric,column_header
Distance_MS.and.US_meters,meters,Distance between upstream and midstream site.,numeric,column_header
DO_Concentration_At_Incubation_Time_Zero,milligrams_per_liter,Dissolved oxygen measurement taken at time zero which signifies the beginning of the sediment incubation.,numeric,column_header
DO_mg.per.L,milligrams_per_liter,Dissolved oxygen at 50% depth at downstream sampling location.,numeric,column_header
DO_perc.sat,percent,Dissolved oxygen at 50% depth at downstream sampling location.,numeric,column_header
Dry_Sediment_Mass_g,grams,Sediment dry mass. This measurement was not taken but the column was added to indicate to the user that there is no measurement.,numeric,column_header
DS_Algal.Mat.Coverage,N/A,Indicator of algal mat coverage at the downstream site.,text,column_header
DS_Depositional.Type,N/A,Downstream sediment location depositional zone type. From provided controlled vocabulary with option to write it other terms.,text,column_header
DS_Latitude_dec.deg,decimal_degrees_WGS84,Latitude of downstream site.,numeric,column_header
DS_Longitude_dec.deg,decimal_degrees_WGS84,Longitude of downstream site.,numeric,column_header
DS_Macrophyte.Coverage,N/A,Indicator of macrophyte coverage at the downstream site.,text,column_header
DS_Sunlight.Access_Perc.Canopy.Cover,N/A,Indicator of the extent sunlight is blocked from the stream by canopy cover or other sources at the downstream site.,text,column_header
DS_Water.Column.Height_cm,centimeters,Height of water column at downstream sampling location.,numeric,column_header
Fe_wt_percent,weight_percent,Iron (weight percent) from XRF.,numeric,column_header
Field_Name_Informal_Classification,N/A,Informal classification of sample.,text,column_header
Field_Program_Cruise,N/A,Name of field program or cruise registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system.,text,column_header
File_Description,N/A,A brief description of the files in the data package.,text,column_header
File_Name,N/A,Name of files in the data package.,text,column_header
File_Path,N/A,File path within the data package.,text,column_header
Filter_Method,N/A,Filter method (method code).,text,column_header
Final_Concen_After_SPE_ppm,ppm,Theoretical final concentration after Solid Phase Extraction (SPE) (assuming 60% efficiency).,numeric,column_header
Frozen_Method,N/A,Frozen method (method code).,text,column_header
FTICR_Format_Method,N/A,FTICR-MS Column Information (method code).,text,column_header
FTICR_Ion_Accumulation_Time,seconds,FTICR-MS Ion Accumulation Time (IAT).,numeric,column_header
Gauge_Latitude_dec.deg,decimal_degrees_WGS84,Gauging station latitude.,numeric,column_header
Gauge_Longitude_dec.deg,decimal_degrees_WGS84,Gauging station longitude.,numeric,column_header
General_Vegetation,N/A,General vegetation type from provided controlled vocabulary during sediment sampling. From provided controlled vocabulary with the option to select up to 2 if mixed.,text,column_header
Geochem_Method_QA_QC,N/A,NPOC QA/QC (method code).,text,column_header
Hg_wt_percent,weight_percent,Mercury (weight percent) from XRF.,numeric,column_header
Hydrogeomorphology,N/A,General hydrogeomorphology of stream. From provided controlled vocabulary.,text,column_header
ICR_Dilution_Method,N/A,Indicator of if the desired carbon concentration for FTICR-MS was achieved via dilution (method code).,text,column_header
IGSN,N/A,International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration).,text,column_header
INC_Method,N/A,Incubation method  (method code).,text,column_header
Intermittent_or_Perennial,N/A,Indicator of if the stream is intermittent or perennial.,text,column_header
Known.Data,N/A,The approximate ranges and/or citations of any surface water cation and/or specific conductance data for the site.,text,column_header
Latitude,decimal_degrees_WGS1984,Geographic location (latitude) of site.,numeric,column_header
Locality,N/A,Name of field site where sample was collected.,text,column_header
Longitude,decimal_degrees_WGS1984,Geographic location (longitude) of site.,numeric,column_header
M1_DO_mg_per_L,milligrams_per_liter,First Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
