Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
00602_TN_mg_per_L_as_N,milligrams_per_liter,Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00681_NPOC_mg_per_L_as_C,milligrams_per_liter,"Dissolved organic carbon (DOC) measured as non-purgeable organic carbon (NPOC) and reported as carbon.  5-digit prefix refers to a US Geological Survey parameter code. Methods information is embedded in first few rows with methods codes that are defined in the file that ends in ""Methods_Codes.csv"".",numeric,column_header
Additional_Sampling_Notes,N/A,Additional Notes about any of the sampling (relevant field conditions; deviations from protocol; major hydromorphic features):,text,column_header
Algal_Mat_Coverage,N/A,Estimated algal mat cover on riverbed. One of the following classes may be selected: full; partial; or no coverage.,text,column_header
Analysis_DetectionLimit,N/A,Analytical detection limit.,numeric,row_header
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header
AVG_DO_mg_per_L,milligrams_per_liter,Average of measurements of dissolved oxygen in laboratory incubation.,numeric,column_header
Battery,volts,Remaining sensor internal battery voltage.,numeric,column_header
Canopy_Coverage,N/A,Estimated canopy coverage over the river only. Total riparian zone canopy cover does not apply. One of the following classes may be selected: full; partial; or no coverage.,text,column_header
City,N/A,City.,text,column_header
City_or_Township,N/A,City or township.,text,column_header
Collection_Date,YYYY-MM-DD,Date of sample collection.,date,column_header
Collection_Method,N/A,Method of sample collection registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system. Controlled vocabulary from SESAR.,text,column_header
Collection_Method_Description,N/A,Description of how sample was collected.,text,column_header
Collector_Chief_Scientist,N/A,Name of person who collected the sample or primary contact.,text,column_header
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,text,column_header
Comment,N/A,Name of study associated with sample.,text,column_header
Contact_First_Name,N/A,Contact first name.,text,column_header
Contact_Last_Name,N/A,Contact last name.,text,column_header
Country,N/A,Country where sample was collected.,text,column_header
Data_Status,N/A,State of data readiness for publication and use.,text,row_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date,YYYY-MM-DD,Date.,date,column_header
Date_End,YYYY-MM-DD,The latest date in the file.,date,column_header
Date_Start,YYYY-MM-DD,The earliest date in the file.,date,column_header
DateTime,YYYY-MM-DD hh:mm:ss,Date and time of measurement.,date,column_header
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header
Depositional_Type,N/A,Depositional zone type. From provided controlled vocabulary with option to write in other terms.,text,column_header
Dissolved_Oxygen,milligrams_per_liter,Dissolved oxygen measured during in situ sensor deployment.,numeric,column_header
Dissolved_Oxygen_Saturation,percent_saturation,Dissolved oxygen saturation measured during in situ sensor deployment.,numeric,column_header
Dissolved_Oxygen_Saturation_sd,percent,Standard deviation of dissolved oxygen (DO) in percent saturation. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the samples that begin with CM. Samples that begin with SSS are trimmed to the average time of equilibrated CM data. The dissolved oxygen data also includes an offset for instrument calibration.,numeric,column_header
Dissolved_Oxygen_sd,milligrams_per_liter,Standard deviation of dissolved oxygen (DO) in milligrams per liter. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the samples that begin with CM. Samples that begin with SSS are trimmed to the average time of equilibrated CM data. The dissolved oxygen data also includes an offset for instrument calibration.,numeric,column_header
DO_Concentration_At_Incubation_Time_Zero,milligrams_per_liter,Dissolved oxygen measurement taken at time zero which signifies the beginning of the sediment incubation.,numeric,column_header
Dry_Sediment_Mass_g,grams,Sediment dry mass.,numeric,column_header
Fe_mg_per_kg,milligrams_per_kilogram,Iron (II) data in milligrams per kilogram. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial.,numeric,column_header
Fe_mg_per_L,milligrams_per_liter,Iron (II) data in milligrams per liter. ,numeric,column_header
FIBOX Station,N/A,Indicator of which Fibox station the incubation was performed at. ,text,column_header
Field_Name,N/A,Name of field of header rows before data.,text,column_header
Field_Name_Informal_Classification,N/A,Informal classification of sample.,text,column_header
Field_Program_Cruise,N/A,Name of field program or cruise registered in the System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system.,text,column_header
File_Description,N/A,A brief description of the files in the data package.,text,column_header
File_Name,N/A,Name of files in the data package.,text,column_header
File_Path,N/A,File path within the data package.,text,column_header
General_Vegetation,N/A,General vegetation type from provided controlled vocabulary during sediment sampling. From provided controlled vocabulary with the option to select up to 2 if mixed.,text,column_header
Hydrogeomorphology,N/A,General hydrogeomorphology of river. One of the following classes may be selected: multi-channel (braided); single-channel straight; single-channel meandering.,text,column_header
Hydrograph_Online,N/A,Link to hydrograph if available.,text,column_header
IGSN,N/A,International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration).,text,column_header
InstallationMethod_Description,N/A,Free text field to describe the sensor installation/deployment design; structure; or general information.,text,column_header
InstallationMethod_ID,N/A,Unique user-determined ID for a method described in the InstallationMethods_Description column in InstallationMethods.csv and listed as a metadata header row term in the data files.,text,column_header
Intermittent_or_Perennial,N/A,Indicator of if the stream is intermittent or perennial.,text,column_header
Latitude,decimal_degrees_WGS1984,Geographic location (latitude).,numeric,column_header
Locality,N/A,Name of field site where sample was collected.,text,column_header
Locality_Description,N/A,Description of the locality.,text,column_header
Longitude,decimal_degrees_WGS1984,Geographic location (longitude).,numeric,column_header
M1_DO_mg_per_L,milligrams_per_liter,First Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
M2_DO_mg_per_L,milligrams_per_liter,Second Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
M3_DO_mg_per_L,milligrams_per_liter,Third Fibox measurement of dissolved oxygen in laboratory incubation.,numeric,column_header
Macrophyte_Coverage,N/A,Estimated macrophyte cover in the river. One of the following classes may be selected: full; partial; or no coverage.,text,column_header
Material,N/A,Type of sample (e.g. Liquid>aqueous; sediment; etc.). Uses a controlled vocabulary from System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration) system.,text,column_header
